ID;REGIAO;MUNICIPIO/BAIRRO;OPM ;RISP;AISP
290190;Interior;Aporá;6ª CIPM - Rio Real;Leste;Litoral Norte Agreste Baiano
290195;Interior;Apuarema;19º BPM - Jequié;Sudoeste;Médio Rio de Contas
290200;Interior;Aracatu;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano
290205;Interior;Araçás;4º BPM - Alagoinhas;Leste;Litoral Norte Agreste Baiano
290210;Interior;Araci;16º BPM - Serrinha;Nordeste;Sisal
290220;Interior;Aramari;4º BPM - Alagoinhas;Leste;Litoral Norte Agreste Baiano
290225;Interior;Arataca;62ª CIPM - Camacan;Sul;Litoral Sul
290230;Interior;Aratuípe;14º BPM - Santo Antônio de Jesus;Recôncavo;Recôncavo
290240;Interior;Aurelino Leal;61ª CIPM - Ubaitaba;Sul;Litoral Sul
290250;Interior;Baianópolis;83ª CIPM - Barreiras;Oeste;Bacia do Rio Grande
290260;Interior;Baixa Grande;98ª CIPM - Ipirá;Chapada;Bacia do Jacuípe
290265;Interior;Banzaê;5º BPM - Euclides da Cunha;Nordeste;Semiárido
290270;Interior;Barra;28ª CIPM - Ibotirama;Meio-Oeste;Velho Chico
290280;Interior;Barra Da Estiva;24º BPM - Brumado;Sudoeste;Sertão Produtivo
290290;Interior;Barra Do Choça;92ª CIPM - Vitória da Conquista;Sudoeste;Sudoeste Baiano
290300;Interior;Barra Do Mendes;7º BPM - Irecê;Meio-Oeste;Irecê
290310;Interior;Barra Do Rocha;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas
290320;Interior;Barreiras;83ª CIPM e 84ª CIPM - Barreiras;Oeste;Bacia do Rio Grande
290323;Interior;Barro Alto;7º BPM - Irecê;Meio-Oeste;Irecê
290327;Interior;Barrocas;16º BPM - Serrinha;Nordeste;Sisal
290330;Interior;Barro Preto;15º BPM - Itabuna;Sul;Litoral Sul
290340;Interior;Belmonte;8º BPM - Porto Seguro;Extremo Sul;Costa do Descobrimento
290350;Interior;Belo Campo;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano
290360;Interior;Biritinga;16º BPM - Serrinha;Nordeste;Sisal
290370;Interior;Boa Nova;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas
290380;Interior;Boa Vista Do Tupim;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu
290390;Interior;Bom Jesus Da Lapa;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico
290395;Interior;Bom Jesus Da Serra;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano
290400;Interior;Boninal;29ª CIPM - Seabra;Chapada;Chapada Diamantina
290405;Interior;Bonito;7º BPM - Irecê;Meio-Oeste;Irecê
290410;Interior;Boquira;4ª CIPM - Macaúbas;Meio-Oeste;Bacia do Paramirim
290420;Interior;Botuporã;4ª CIPM - Macaúbas;Meio-Oeste;Bacia do Paramirim
290430;Interior;Brejões;99ª CIPM - Amargosa;Recôncavo;Vale do Jiquiriçá
290440;Interior;Brejolândia;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente
290450;Interior;Brotas De Macaúbas;28ª CIPM - Ibotirama;Meio-Oeste;Velho Chico
290460;Interior;Brumado;24º BPM - Brumado;Sudoeste;Sertão Produtivo
290470;Interior;Buerarema;15º BPM - Itabuna;Sul;Litoral Sul
290475;Interior;Buritirama;86ª CIPM - Formosa do Rio Preto;Oeste;Bacia do Rio Grande
290480;Interior;Caatiba;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia
290485;Interior;Cabaceiras Do Paraguaçu;27ª CIPM - Cruz das Almas;Recôncavo;Recôncavo
290490;Interior;Cachoeira;20ª CIPM - Santo Amaro;Recôncavo;Recôncavo
290500;Interior;Caculé;94ª CIPM - Caetité;Sudoeste;Sertão Produtivo
290510;Interior;Caém;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina
290515;Interior;Caetanos;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano
290520;Interior;Caetité;94ª CIPM - Caetité;Sudoeste;Sertão Produtivo
290530;Interior;Cafarnaum;7º BPM - Irecê;Meio-Oeste;Irecê
290540;Interior;Cairu;33ª CIPM - Valença;Recôncavo;Baixo Sul
290550;Interior;Caldeirão Grande;6º BPM - Senhor do Bonfim;Norte;Piemonte Norte do Itapicuru
290560;Interior;Camacan;62ª CIPM - Camacan;Sul;Litoral Sul
290570;RMS;Camaçari;12º BPM - Camaçari;RMS;22 - Camaçari
290580;Interior;Camamu;33ª CIPM - Valença;Recôncavo;Baixo Sul
290590;Interior;Campo Alegre De Lourdes;25ª CIPM - Casa Nova;Norte;Sertão do São Francisco
290600;Interior;Campo Formoso;54ª CIPM - Campo Formoso;Norte;Piemonte Norte do Itapicuru
290610;Interior;Canápolis;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente
290620;Interior;Canarana;7º BPM - Irecê;Meio-Oeste;Irecê
290630;Interior;Canavieiras;71ª CIPM - Canavieiras;Sul;Litoral Sul
290640;Interior;Candeal;16º BPM - Serrinha;Nordeste;Sisal
290650;RMS;Candeias;10ª CIPM - Candeias;RMS;26 - Candeias
290660;Interior;Candiba;17º BPM - Guanambi;Sudoeste;Sertão Produtivo
290670;Interior;Cândido Sales;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano
290680;Interior;Cansanção;16º BPM - Serrinha;Nordeste;Sisal
290682;Interior;Canudos;45ª CIPM - Curaçá;Norte;Sertão do São Francisco
290685;Interior;Capela Do Alto Alegre;90ª CIPM - Riachão do Jacuípe;Chapada;Bacia do Jacuípe
290687;Interior;Capim Grosso;91ª CIPM - Capim Grosso;Chapada;Bacia do Jacuípe
290689;Interior;Caraíbas;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano
290690;Interior;Caravelas;88ª CIPM - Alcobaça;Extremo Sul;Extremo Sul
290700;Interior;Cardeal Da Silva;56ª CIPM - Entre Rios;Leste;Litoral Norte Agreste Baiano
290710;Interior;Carinhanha;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico
290720;Interior;Casa Nova;25ª CIPM - Casa Nova;Norte;Sertão do São Francisco
290730;Interior;Castro Alves;27ª CIPM - Cruz das Almas;Recôncavo;Recôncavo
290740;Interior;Catolândia;83ª CIPM - Barreiras;Oeste;Bacia do Rio Grande
290750;Interior;Catu;95ª CIPM - Catu;Leste;Litoral Norte Agreste Baiano
290755;Interior;Caturama;4ª CIPM - Macaúbas;Meio-Oeste;Bacia do Paramirim
290760;Interior;Central;7º BPM - Irecê;Meio-Oeste;Irecê
290770;Interior;Chorrochó;20º BPM - Paulo Afonso;Nordeste;Itaparica
290780;Interior;Cícero Dantas;5º BPM - Euclides da Cunha;Nordeste;Semiárido
290790;Interior;Cipó;21ª CIPM - Cipó;Nordeste;Semiárido
290800;Interior;Coaraci;15º BPM - Itabuna;Sul;Litoral Sul
290810;Interior;Cocos;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente
290820;Interior;Conceição Da Feira;67ª CIPM - Feira de Santana;Leste;Portal do Sertão
290830;Interior;Conceição Do Almeida;27ª CIPM - Cruz das Almas;Recôncavo;Recôncavo
290840;Interior;Conceição Do Coité;16º BPM - Serrinha;Nordeste;Sisal
290850;Interior;Conceição Do Jacuípe;97ª CIPM - Irará;Leste;Portal do Sertão
290860;Interior;Conde;51ª CIPM - Conde;Leste;Litoral Norte Agreste Baiano
290870;Interior;Condeúba;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano
290880;Interior;Contendas Do Sincorá;24º BPM - Brumado;Sudoeste;Sertão Produtivo
290890;Interior;Coração De Maria;97ª CIPM - Irará;Leste;Portal do Sertão
290900;Interior;Cordeiros;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano
290910;Interior;Coribe;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente
290920;Interior;Coronel João Sá;20º BPM - Paulo Afonso;Nordeste;Itaparica
290930;Interior;Correntina;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente
290940;Interior;Cotegipe;84ª CIPM - Barreiras;Oeste;Bacia do Rio Grande
290950;Interior;Cravolândia;19º BPM - Jequié;Sudoeste;Médio Rio de Contas
290960;Interior;Crisópolis;6ª CIPM - Rio Real;Leste;Litoral Norte Agreste Baiano
290970;Interior;Cristópolis;83ª CIPM - Barreiras;Oeste;Bacia do Rio Grande
290980;Interior;Cruz Das Almas;27ª CIPM - Cruz das Almas;Recôncavo;Recôncavo
290990;Interior;Curaçá;45ª CIPM - Curaçá;Norte;Sertão do São Francisco
291000;Interior;Dário Meira;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas
291005;RMS;Dias D'Ávila;36ª CIPM - Dias D'Ávila;RMS;28 - Dias D’Ávila
291010;Interior;Dom Basílio;46ª CIPM - Livramento de Nossa Senhora;Sudoeste;Sertão Produtivo
291020;Interior;Dom Macêdo Costa;14º BPM - Santo Antônio de Jesus;Recôncavo;Recôncavo
291030;Interior;Elísio Medrado;99ª CIPM - Amargosa;Recôncavo;Vale do Jiquiriçá
291040;Interior;Encruzilhada;80ª CIPM - Cândido Sales;Sudoeste;Sudoeste Baiano
291050;Interior;Entre Rios;56ª CIPM - Entre Rios;Leste;Litoral Norte Agreste Baiano
291060;Interior;Esplanada;56ª CIPM - Entre Rios;Leste;Litoral Norte Agreste Baiano
291070;Interior;Euclides Da Cunha;5º BPM - Euclides da Cunha;Nordeste;Semiárido
291072;Interior;Eunápolis;7ª CIPM - Eunápolis;Extremo Sul;Costa do Descobrimento
291075;Interior;Fátima;21ª CIPM - Cipó;Nordeste;Semiárido
291077;Interior;Feira Da Mata;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico
291080;Interior;Feira De Santana;64ª CIPM, 65ª CIPM, 66ª CIPM e 67ª CIPM - Feira de Santana;Leste;Portal do Sertão
291085;Interior;Filadélfia;6º BPM - Senhor do Bonfim;Norte;Piemonte Norte do Itapicuru
291090;Interior;Firmino Alves;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia
291100;Interior;Floresta Azul;63ª CIPM - Ibicaraí;Sul;Litoral Sul
291110;Interior;Formosa Do Rio Preto;86ª CIPM - Formosa do Rio Preto;Oeste;Bacia do Rio Grande
291120;Interior;Gandú;60ª CIPM - Gandu;Recôncavo;Baixo Sul
291125;Interior;Gavião;91ª CIPM - Capim Grosso;Chapada;Bacia do Jacuípe
291130;Interior;Gentio Do Ouro;7º BPM - Irecê;Meio-Oeste;Irecê
291140;Interior;Glória;20º BPM - Paulo Afonso;Nordeste;Itaparica
291150;Interior;Gongogi;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas
291160;Interior;Governador Mangabeira;27ª CIPM - Cruz das Almas;Recôncavo;Recôncavo
291165;Interior;Guajeru;79ª CIPM - Poções;Sudoeste;Sudoeste Baiano
291170;Interior;Guanambi;17º BPM - Guanambi;Sudoeste;Sertão Produtivo
291180;Interior;Guaratinga;7ª CIPM - Eunápolis;Extremo Sul;Costa do Descobrimento
291185;Interior;Heliópolis;21ª CIPM - Cipó;Nordeste;Semiárido
291190;Interior;Iaçu;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu
291200;Interior;Ibiassucê;94ª CIPM - Caetité;Sudoeste;Sertão Produtivo
291210;Interior;Ibicaraí;63ª CIPM - Ibicaraí;Sul;Litoral Sul
291220;Interior;Ibicoara;42ª CIPM - Lençóis;Chapada;Chapada Diamantina
291230;Interior;Ibicuí;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia
291240;Interior;Ibipeba;7º BPM - Irecê;Meio-Oeste;Irecê
291250;Interior;Ibipitanga;4ª CIPM - Macaúbas;Meio-Oeste;Bacia do Paramirim
291260;Interior;Ibiquera;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu
291270;Interior;Ibirapitanga;60ª CIPM - Gandu;Recôncavo;Baixo Sul
291280;Interior;Ibirapuã;44ª CIPM - Medeiros Neto;Extremo Sul;Extremo Sul
291290;Interior;Ibirataia;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas
291300;Interior;Ibitiara;29ª CIPM - Seabra;Chapada;Chapada Diamantina
291310;Interior;Ibititá;7º BPM - Irecê;Meio-Oeste;Irecê
291320;Interior;Ibotirama;28ª CIPM - Ibotirama;Meio-Oeste;Velho Chico
291330;Interior;Ichu;16º BPM - Serrinha;Nordeste;Sisal
291340;Interior;Igaporã;38ª CIPM - Bom Jesus da Lapa;Meio-Oeste;Velho Chico
291345;Interior;Igrapiúna;33ª CIPM - Valença;Recôncavo;Baixo Sul
291350;Interior;Iguaí;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia
291360;Interior;Ilhéus;68ª CIPM, 69ª CIPM e 70ª CIPM - Ilhéus;Sul;Litoral Sul
291370;Interior;Inhambupe;4º BPM - Alagoinhas;Leste;Litoral Norte Agreste Baiano
291380;Interior;Ipecaetá;57ª CIPM - Santo Estevão;Leste;Portal do Sertão
291390;Interior;Ipiaú;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas
291400;Interior;Ipirá;98ª CIPM - Ipirá;Chapada;Bacia do Jacuípe
291410;Interior;Ipupiara;7º BPM - Irecê;Meio-Oeste;Irecê
291420;Interior;Irajuba;93ª CIPM - Maracás;Recôncavo;Vale do Jiquiriçá
291430;Interior;Iramaia;42ª CIPM - Lençóis;Chapada;Chapada Diamantina
291440;Interior;Iraquara;29ª CIPM - Seabra;Chapada;Chapada Diamantina
291450;Interior;Irará;97ª CIPM - Irará;Leste;Portal do Sertão
291460;Interior;Irecê;7º BPM - Irecê;Meio-Oeste;Irecê
291465;Interior;Itabela;7ª CIPM - Eunápolis;Extremo Sul;Costa do Descobrimento
291470;Interior;Itaberaba;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu
291480;Interior;Itabuna;15º BPM - Itabuna;Sul;Litoral Sul
291490;Interior;Itacaré;72ª CIPM - Itacaré;Sul;Litoral Sul
291500;Interior;Itaeté;42ª CIPM - Lençóis;Chapada;Chapada Diamantina
291510;Interior;Itagi;19º BPM - Jequié;Sudoeste;Médio Rio de Contas
291520;Interior;Itagibá;55ª CIPM - Ipiaú;Sudoeste;Médio Rio de Contas
291530;Interior;Itagimirim;7ª CIPM - Eunápolis;Extremo Sul;Costa do Descobrimento
291535;Interior;Itaguaçu Da Bahia;7º BPM - Irecê;Meio-Oeste;Irecê
291540;Interior;Itaju Do Colônia;63ª CIPM - Ibicaraí;Sul;Litoral Sul
291550;Interior;Itajuípe;15º BPM - Itabuna;Sul;Litoral Sul
291560;Interior;Itamaraju;43ª CIPM - Itamaraju;Extremo Sul;Extremo Sul
291570;Interior;Itamari;19º BPM - Jequié;Sudoeste;Médio Rio de Contas
291580;Interior;Itambé;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia
291590;Interior;Itanagra;4º BPM - Alagoinhas;Leste;Litoral Norte Agreste Baiano
291600;Interior;Itanhém;44ª CIPM - Medeiros Neto;Extremo Sul;Extremo Sul
291610;RMS;Itaparica;23º BPM - Vera Cruz;Recôncavo;Recôncavo
291620;Interior;Itapé;63ª CIPM - Ibicaraí;Sul;Litoral Sul
291630;Interior;Itapebi;7ª CIPM - Eunápolis;Extremo Sul;Costa do Descobrimento
291640;Interior;Itapetinga;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia
291650;Interior;Itapicuru;6ª CIPM - Rio Real;Leste;Litoral Norte Agreste Baiano
291660;Interior;Itapitanga;61ª CIPM - Ubaitaba;Sul;Litoral Sul
291670;Interior;Itaquara;19º BPM - Jequié;Sudoeste;Médio Rio de Contas
291680;Interior;Itarantim;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia
291685;Interior;Itatim;11º BPM - Itaberaba;Chapada;Piemonte do Paraguaçu
291690;Interior;Itiruçu;93ª CIPM - Maracás;Recôncavo;Vale do Jiquiriçá
291700;Interior;Itiúba;16º BPM - Serrinha;Nordeste;Sisal
291710;Interior;Itororó;8ª CIPM - Itapetinga;Sul;Médio Sudoeste da Bahia
291720;Interior;Ituaçu;24º BPM - Brumado;Sudoeste;Sertão Produtivo
291730;Interior;Ituberá;33ª CIPM - Valença;Recôncavo;Baixo Sul
291733;Interior;Iuiú;17º BPM - Guanambi;Sudoeste;Sertão Produtivo
291735;Interior;Jaborandi;30ª CIPM - Santa Maria da Vitória;Oeste;Bacia do Rio Corrente
291740;Interior;Jacaraci;94ª CIPM - Caetité;Sudoeste;Sertão Produtivo
291750;Interior;Jacobina;24ª CIPM - Jacobina;Chapada;Piemonte da Diamantina
291760;Interior;Jaguaquara;19º BPM - Jequié;Sudoeste;Médio Rio de Contas
291770;Interior;Jaguarari;6º BPM - Senhor do Bonfim;Norte;Piemonte Norte do Itapicuru
291780;Interior;Jaguaripe;33ª CIPM - Valença;Recôncavo;Baixo Sul
291790;Interior;Jandaíra;6ª CIPM - Rio Real;Leste;Litoral Norte Agreste Baiano
291800;Interior;Jequié;19º BPM - Jequié;Sudoeste;Médio Rio de Contas
291810;Interior;Jeremoabo;20º BPM - Paulo Afonso;Nordeste;Itaparica
291820;Interior;Jiquiriçá;99ª CIPM - Amargosa;Recôncavo;Vale do Jiquiriçá
291830;Interior;Jitaúna;19º BPM - Jequié;Sudoeste;Médio Rio de Contas
291835;Interior;João Dourado;7º BPM - Irecê;Meio-Oeste;Irecê
291840;Interior;Juazeiro;73ª CIPM, 74ª CIPM, 75ª CIPM e 76ª CIPM - Juazeiro;Norte;Sertão do São Francisco
291845;Interior;Jucuruçu;43ª CIPM - Itamaraju;Extremo Sul;Extremo Sul
291850;Interior;Jussara;7º BPM - Irecê;Meio-Oeste;Irecê
291855;Interior;Jussari;62ª CIPM - Camacan;Sul;Litoral Sul
